255,0,0,red
255,0,0,red
255,0,0,red
255,0,19,red
255,0,0,red
255,0,0,red
255,0,0,red
255,43,36,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,0,red
255,0,49,red
207,158,47,yellow
162,130,59,yellow
176,145,57,yellow
187,162,92,yellow
126,110,66,yellow
191,173,82,yellow
121,98,45,yellow
160,134,51,yellow
174,148,75,yellow
219,179,91,yellow
169,146,86,yellow
151,123,76,yellow
163,145,87,yellow
186,152,61,yellow
104,89,50,yellow
177,150,74,yellow
189,150,63,yellow
149,125,73,yellow
216,175,82,yellow
186,158,85,yellow
255,251,244,white
244,243,235,white
255,250,247,white
164,155,161,white
236,231,227,white
180,170,176,white
188,184,179,white
195,197,206,white
175,168,167,white
179,185,189,white
255,228,206,white
255,255,248,white
132,127,128,white
170,153,156,white
220,227,214,white
151,154,163,white
233,227,227,white
143,122,121,white
238,235,234,white
180,196,204,white
50,60,94,blue
61,82,136,blue
0,26,94,blue
45,63,105,blue
50,59,93,blue
22,103,255,blue
93,101,132,blue
54,63,87,blue
50,58,94,blue
0,20,255,blue
59,65,90,blue
52,61,86,blue
62,79,116,blue
58,70,98,blue
76,93,138,blue
0,71,255,blue
85,92,127,blue
48,54,92,blue
0,56,99,blue
201,229,255,blue
